jy,jm,h,bench,old_top10,old_top10_exc,old_top20,old_top20_exc,new_top10,new_top10_exc,new_top20,new_top20_exc
1404,3,3,-0.15237652763236945,-0.14439396579463448,0.007982561837734964,-0.10816475785220972,0.044211769780159726,-0.10506277894885545,0.047313748683514,-0.09573736881286661,0.056639158819502836
1404,3,6,0.2384496641332248,0.3079585897739447,0.06950892564071989,0.3166575602129866,0.07820789607976178,0.3715007363292776,0.1330510721960528,0.29067435216857673,0.052224688035351935
1404,4,3,0.0929318248486256,0.19065873966325017,0.09772691481462457,0.13562588610028756,0.04269406125166196,0.15364502480909176,0.06071319996046616,0.13642528833122652,0.04349346348260093
1404,4,6,0.45180317189131697,0.6660059111963952,0.21420273930507822,0.4790793024515505,0.027276130560233536,0.5165267026522378,0.0647235307609208,0.49343859344597113,0.04163542155465416
1404,5,3,0.2716615558662268,0.254195366357674,-0.017466189508552832,0.28771542823131807,0.01605387236509126,0.21452407509613938,-0.05713748077008743,0.27154137836560116,-0.00012017750062565113
1404,5,6,0.41152613848702096,0.5282223459137244,0.11669620742670345,0.5241084116740508,0.11258227318702979,0.4255137752326517,0.01398763674563075,0.530265429807261,0.11873929132024003
1404,6,3,0.4589873596988071,0.49929892480284976,0.04031156510404266,0.5033304165811461,0.04434305688233897,0.47757069079602416,0.01858333109721705,0.4443235283512714,-0.014663831347535683
1404,6,6,0.339161497254664,0.42305791469307275,0.08389641743840875,0.5197198292095047,0.18055833195484067,0.4243429010098372,0.08518140375517319,0.45059316714998204,0.11143166989531805
1404,7,3,0.3172743850879996,0.41445720896117405,0.09718282387317445,0.3657780090613774,0.04850362397337782,0.3426595485121199,0.025385163424120283,0.41965160815839553,0.10237722307039593
1404,7,6,0.11635260241292553,0.2547162208901635,0.13836361847723797,0.19040438138127108,0.07405177896834556,0.15936558325229505,0.043012980839369525,0.24109805483707153,0.124745452424146
1404,8,3,0.10697386335566877,0.21626142856614017,0.1092875652104714,0.20638852529927446,0.09941466194360568,0.25190030147198395,0.14492643811631517,0.19593814577839658,0.0889642824227278
1404,8,6,0.10920366207237515,0.3087516693158224,0.19954800724344723,0.24859410360330517,0.13939044153093,0.31818542694173646,0.20898176486936132,0.2378746731180043,0.12867101104562917
1404,9,3,-0.08378081887305548,0.0354572414587944,0.11923806033184989,-0.03149335881394247,0.052287460059113014,0.06003469687634848,0.14381551574940396,-0.037617014367493436,0.046163804505562046
1404,9,6,0.44140696626558173,0.6469027627911148,0.20549579652553307,0.6356921427874206,0.19428517652183885,0.707709292747505,0.2663023264819233,0.5573894670752352,0.11598250080965344
1404,10,3,-0.15054873201327315,-0.1304447366895792,0.020103995323693946,-0.1270084251277785,0.02354030688549466,-0.11265807902876157,0.03789065298451158,-0.11518551755812223,0.03536321445515092
